brand,code,name,hex
Sullivans,Sullivans 45259,Emerald Green Medium,#389346
Ariadna,1658,sea green,#38c896
Anchor,Anchor 861,Fern Green Dark,#394131
Cosmo,635A,635A,#395029
Finca,4231,Blue Green dark,#396f52
Sullivans,Sullivans 45161,Christmas Green Light,#39822c
Sullivans,Sullivans 45249,Coffee Brown Very Dark,#3a150d
Anchor,Anchor 177,Cornflower Blue Dark,#3a2d61
Finca,2711,,#3a3365
Anchor,Anchor 400,Pewter Grey Dark,#3a3a3a
DMC,792,Cornflower Blue dark,#3a3e82
CXC,CXC 792,Cornflower Blue dark,#3a3e82
DMC,520,Fern Green dark,#3a4734
CXC,CXC 520,Fern Green dark,#3a4734
Anchor,Anchor 216,Misty Green Medium,#3a5d40
Cosmo,2027,2027,#3a67b4
Madeira,1012,Blue Med,#3a7380
Anchor,Anchor 227,Christmas Green,#3a742d
DMC,562,Jade medium,#3a7c5a
CXC,CXC 562,Jade medium,#3a7c5a
Madeira,1202,Turquoise DK,#3a8062
Cosmo,477,477,#3b2e37
Sullivans,Sullivans 45331,Green Grey Dark,#3b3e1c
Cosmo,2214,2214,#3b54a1
Ariadna,1638A,antique blue very dark,#3b618c
Cosmo,328,328,#3b6c36
Sullivans,Sullivans 45380,Wedgewood,#3b71a1
Finca,3494,Wedgewood dark,#3b768f
Ariadna,1625,cornflower blue very dark,#3c3c8f
Cosmo,2664,2664,#3c438a
Madeira,1602,Laurel Green Med,#3c4b2e
Sullivans,Sullivans 45308,Forest Green Dark,#3c552c
Ariadna,1638,antique blue ultra dark,#3c5a6e
Madeira,1004,Antique Blue Med,#3c5c6e
Cosmo,983,983,#3c5e6a
Ariadna,1672,turquoise ultra very dark,#3c643c
Sullivans,Sullivans 45407,Turquoise Dark,#3c798e
Cosmo,845,845,#3c7e61
Madeira,1914,Beige Brown Ultra VY,#3d2518
DMC,938,Coffee Brown ultra dark,#3d2923
CXC,CXC 938,Coffee Brown ultra dark,#3d2923
DMC,844,Beaver Grey ultra dark,#3d3d36
CXC,CXC 844,Beaver Grey ultra dark,#3d3d36
DMC,413,Pewter Grey dark,#3d4247
CXC,CXC 413,Pewter Grey dark,#3d4247
Sullivans,Sullivans 45404,Cornflower Blue,#3d4687
Sullivans,Sullivans 45080,Pistachio Green Dark,#3d5f3a
DMC,798,Delft Blue dark,#3d5fa3
CXC,CXC 798,Delft Blue dark,#3d5fa3
DMC,905,Parrot Green dark,#3d7123
CXC,CXC 905,Parrot Green dark,#3d7123
Cosmo,375,375,#3d748c
DMC,518,Wedgewood light,#3d84a4
CXC,CXC 518,Wedgewood light,#3d84a4
Finca,4074,Aquamarine medium,#3d9384
Finca,3574,Peacock Blue dark,#3d95a5
Cosmo,2029,2029,#3e3a4e
Madeira,1312,Pistachio Green DK,#3e5531
Finca,4741,,#3e6236
Cosmo,2019,2019,#3e637e
Sullivans,Sullivans 45254,Parrot Green Dark,#3e6515
Sullivans,Sullivans 45412,Celadon Green Dark,#3e6a4e
Cosmo,414A,414A,#3e79c1
Finca,4059,Sea Green dark,#3eb6a1
Anchor,Anchor 122,Blue Purple Medium,#3f3d5a
Madeira,1714,Steel Grey DK,#3f3f41
Madeira,1504,Avocado Green Med,#3f4a09
Sullivans,Sullivans 45279,Avocado Green Medium,#3f4c17
Sullivans,Sullivans 45227,Blue Medium,#3f6aa5
Finca,4643,Christmas Green light,#3f8f29
Madeira,1213,Leaf Green DK,#3fa468
Cosmo,2311,2311,#40271e
Cosmo,556,556,#403b71
Anchor,Anchor 8581,Beaver Grey Medium,#403e3a
Sullivans,Sullivans 45384,Grey Green Dark,#404e58
DMC,367,Pistachio Green dark,#406647
CXC,CXC 367,Pistachio Green dark,#406647
DMC,322,Baby Blue dark,#40669b
CXC,CXC 322,Baby Blue dark,#40669b
Cosmo,274,274,#40873d
Ariadna,1617,blue very dark,#408bb6
Sullivans,Sullivans 45393,Mocha Brown Dark,#412b1f
Sullivans,Sullivans 45121,Ash Grey Very Light,#413f3e
Anchor,Anchor 268,Avocado Green Dark,#414c1b
